station_token,horizon_d,event_era,is_weekend,missing_count,q_1d_bin,q_mean_7d_bin,q_std_7d_bin,q_mean_30d_bin,q_std_30d_bin,q_min_30d_bin,q_max_30d_bin,logq_1d_bin,dlogq_1d_bin,abs_dlogq_mean7_bin,flashiness_7d_bin,q_missing_30d_bin,month_bin,dayofyear_bin,slice_lowflow,target_rapid_surge_next,row_id
72e6d542f7e1,7,0,0,0,11,11,10,11,10,11,11,11,8,3,3,1,6,6,0,0,642924308346796
5a95829744b6,3,2,1,0,5,6,7,6,7,6,6,5,0,10,10,1,2,2,1,0,662645007628031
ef34da8c2c0d,3,1,0,0,4,4,5,4,4,5,4,4,1,9,9,1,11,10,0,0,665757419269507
de2e1a39a06a,3,1,0,0,8,9,9,9,10,9,10,8,2,5,5,1,0,0,0,0,669461265452941
75ed4952b7fc,7,1,0,0,6,6,4,6,6,7,6,6,7,4,4,1,6,6,1,0,671522040041921
6d697f14bc8e,3,0,1,0,9,10,10,10,10,9,10,9,1,5,6,1,7,7,0,0,677628060965251
54bdd761dc96,3,2,1,0,7,6,8,6,8,1,7,7,11,11,7,1,8,8,1,0,679697862631449
75ed4952b7fc,7,2,0,0,7,7,8,7,8,7,7,7,9,6,6,1,9,9,0,1,689466862233006
56c9efc58838,7,1,1,0,8,8,9,8,10,8,10,8,9,4,4,1,11,11,0,0,696694891563663
fd98e5d506f4,3,0,0,0,3,3,5,4,5,3,4,3,11,11,11,1,8,8,0,0,722268245237030
95b9d4fe1271,3,0,0,0,3,2,2,2,4,5,5,3,7,2,2,1,11,10,0,0,724133122154029
25827051ce85,7,1,0,0,10,10,10,10,11,10,11,10,7,6,6,1,11,11,1,0,733802103111702
44c3d411b9d0,3,0,0,0,1,0,1,0,0,1,0,1,6,1,1,1,1,1,1,0,735325268484324
ec691497ec28,3,0,0,0,8,8,8,8,7,8,7,8,6,3,3,1,11,10,0,0,741916958134360
b7c0806de860,3,0,0,0,9,10,9,10,9,10,9,9,1,5,5,1,11,10,0,0,750388358520324
fd98e5d506f4,7,1,1,0,3,5,6,5,5,4,4,3,0,10,10,1,3,3,0,0,751808936312727
44c3d411b9d0,7,0,0,0,4,4,1,4,0,6,2,4,6,1,1,1,6,6,0,0,767029623777195
75ed4952b7fc,7,2,0,0,5,6,3,6,3,7,5,5,4,4,4,1,8,8,1,1,772218410644794
4e9a08ea6a04,3,2,1,0,3,4,5,5,4,2,4,3,11,11,11,1,4,4,0,1,773912952260598
72e6d542f7e1,7,2,0,0,10,10,11,10,10,10,10,10,7,5,5,1,11,11,1,0,784201383284306
117bd0e19e2a,7,0,0,0,2,3,6,3,5,3,5,2,6,11,11,1,6,6,1,0,796372498072847
ec691497ec28,7,1,1,0,9,8,9,8,8,9,8,9,11,5,4,1,9,9,0,0,824296414320231
56c9efc58838,7,1,0,0,8,8,6,8,7,9,8,8,4,2,2,1,3,3,0,0,827846269973008
5a95829744b6,7,1,0,0,7,6,7,6,6,6,6,7,10,10,10,1,1,1,1,0,839990145200739
5a95829744b6,3,1,0,0,6,6,7,6,7,5,6,6,1,9,9,1,0,0,1,0,852195077586942
88c5daebbe7a,7,2,0,0,4,5,6,4,5,2,4,4,11,10,10,1,6,5,1,0,853368357473464
25827051ce85,3,2,0,0,11,11,11,11,11,11,11,11,7,6,6,1,4,4,0,0,856754851704815
b7c0806de860,3,2,0,0,8,8,8,8,8,9,8,8,8,3,3,1,5,5,1,0,866646454102465
ae58d21b0db5,3,1,0,0,2,3,4,3,3,4,3,2,0,10,10,1,11,11,1,1,867766436905321
df7628a2379b,7,2,0,0,1,1,2,1,2,1,2,1,6,7,8,1,1,1,0,0,871423891365508
89606b98d91b,3,0,0,0,9,9,8,8,7,9,8,9,3,3,3,1,11,10,1,0,876667615571080
ec691497ec28,3,2,0,0,8,8,6,8,6,9,7,8,8,2,2,1,6,6,0,0,883712632598892
6d697f14bc8e,7,2,0,0,9,9,10,8,10,7,8,9,2,7,7,1,2,2,1,0,883994826860636
89606b98d91b,3,0,0,0,9,9,10,9,9,9,9,9,3,5,5,1,4,4,0,0,904963052759976
724c5ce66e47,3,1,0,0,1,0,1,0,0,1,0,1,6,1,1,1,4,4,1,0,911546740142727
5a95829744b6,3,1,1,0,6,7,8,6,7,5,6,6,0,9,9,1,8,8,0,0,921805756092054
609de232a4d4,3,0,0,0,6,6,6,6,6,6,6,6,1,7,7,1,4,4,0,0,928876119215377
de2e1a39a06a,3,1,1,0,7,8,10,7,9,7,8,7,1,7,7,1,11,10,0,0,934920417920407
44451e6362f6,3,2,0,0,3,4,3,4,4,5,4,3,0,7,9,1,6,6,0,1,948591246215478
54bdd761dc96,3,1,1,0,7,7,8,7,8,6,7,7,4,3,3,1,11,10,0,0,950279174812373
ae58d21b0db5,3,1,0,0,4,3,4,3,3,4,3,4,11,11,10,1,3,3,1,0,951914461948108
5a95829744b6,7,1,1,0,7,7,8,7,7,6,7,7,1,8,8,1,3,2,0,0,976153029735840
ecaee3d1008f,7,2,0,0,1,0,1,0,0,1,0,1,6,1,1,1,11,11,0,0,988821412973275
ec691497ec28,3,0,1,0,8,8,8,8,7,9,8,8,4,3,3,1,6,6,0,0,988941932707391
df7628a2379b,7,1,0,0,1,1,2,1,2,1,2,1,6,6,6,1,2,2,1,0,1000229042650052
609de232a4d4,3,1,0,0,6,5,5,5,4,5,4,6,11,9,8,1,2,2,1,0,1007713854284894
44451e6362f6,7,2,0,0,4,4,4,4,4,5,4,4,9,8,8,1,6,6,0,0,1011550017255210
6d697f14bc8e,7,1,0,0,9,10,9,10,9,10,10,9,1,5,5,1,8,8,0,0,1013414043084195
75ed4952b7fc,7,1,0,0,7,7,7,7,9,7,8,7,3,3,3,1,4,4,0,0,1023099986884008
5a95829744b6,3,1,0,0,7,7,8,7,7,5,7,7,10,10,9,1,4,4,0,0,1029065270152457
54bdd761dc96,7,0,1,0,6,6,4,6,3,7,5,6,9,6,6,1,4,3,1,0,1029739663687644
44451e6362f6,7,1,0,0,4,4,3,4,3,5,3,4,10,7,7,1,1,0,0,0,1038325375296655
72e6d542f7e1,7,0,0,0,11,10,10,10,10,10,10,11,9,3,3,1,0,0,1,0,1044127953569299
df7628a2379b,7,1,1,0,1,0,1,1,2,1,2,1,6,1,1,1,7,7,0,0,1054146899743586
44451e6362f6,7,2,0,0,4,4,4,4,4,5,4,4,0,9,9,1,5,4,0,0,1068207257969069
75ed4952b7fc,3,0,0,0,7,6,8,6,7,6,7,7,0,9,8,1,8,8,1,0,1070705800282604
117bd0e19e2a,3,1,0,0,6,6,4,5,5,2,4,6,11,7,7,1,9,9,0,0,1075495117498533
75ed4952b7fc,7,0,0,0,7,7,7,7,10,7,9,7,3,3,3,1,2,2,0,1,1076599388147926
1ef64aab5c17,7,1,0,0,10,10,9,10,8,10,9,10,5,2,2,1,11,10,0,0,1077569988881203
de2e1a39a06a,3,0,0,0,7,7,7,7,8,7,8,7,9,5,5,1,4,4,0,0,1078182170140620
caf2a2a8004c,3,1,1,0,11,11,10,11,10,11,11,11,8,4,4,1,2,2,0,0,1085087538939862
406ae854b991,7,1,0,0,1,1,2,1,1,2,1,1,4,4,4,1,2,2,0,0,1089002700367926
b64df5bf243d,7,1,0,0,1,1,1,1,0,2,0,1,6,1,1,1,11,11,0,0,1095329152453472
56c9efc58838,7,2,0,0,7,7,4,8,9,8,8,7,5,1,1,1,2,1,0,0,1107691348902306
d2a09753fb88,3,0,1,0,5,4,5,6,6,4,6,5,10,11,11,1,4,4,0,0,1110796252297820
117bd0e19e2a,7,0,0,0,6,5,5,4,5,3,5,6,11,8,8,1,7,7,1,0,1110924551080114
df7628a2379b,7,0,1,0,2,2,2,1,2,1,1,2,11,10,10,1,9,10,0,0,1111884744607110
75ed4952b7fc,7,1,0,0,8,10,11,8,10,8,10,8,2,10,9,1,0,0,0,0,1113767800791530
25827051ce85,7,1,0,0,11,11,11,11,11,11,11,11,8,6,6,1,1,1,0,0,1119766520125318
fd98e5d506f4,3,1,1,0,3,3,3,3,4,3,4,3,9,9,9,1,9,9,1,0,1135395571252410
95b9d4fe1271,3,2,0,0,2,2,2,1,1,3,1,2,2,3,3,1,6,6,1,1,1144738279560565
748d7819e37e,7,1,1,0,2,2,2,1,1,3,1,2,7,3,3,1,2,2,0,1,1149317167505085
4e9a08ea6a04,7,0,1,0,4,5,2,3,4,1,3,4,4,7,6,1,0,0,1,0,1163080404891528
de2e1a39a06a,3,1,1,0,5,5,3,6,4,7,6,5,8,4,4,1,7,7,1,0,1166681596141750
7b281033e46b,3,1,0,0,9,9,10,9,9,8,9,9,10,7,7,1,0,0,0,1,1170534640147265
72e6d542f7e1,3,1,0,0,10,10,10,11,10,11,10,10,1,5,5,1,11,10,0,0,1170585375683733
5a95829744b6,7,0,1,0,7,7,7,7,7,7,7,7,2,5,4,1,3,3,0,0,1176052791655348
7d9cf5e9ab13,7,1,1,0,6,6,5,6,5,7,6,6,3,7,7,1,0,0,1,0,1177170361050493
ecaee3d1008f,3,1,0,0,1,0,1,0,0,1,0,1,6,1,1,1,5,5,1,0,1186775731078348
4e9a08ea6a04,3,2,0,0,4,4,5,4,3,4,4,4,10,10,10,1,5,5,0,0,1206711228387914
de2e1a39a06a,3,2,0,0,10,10,10,10,11,10,11,10,1,7,7,1,1,1,0,0,1218381800905619
4e9a08ea6a04,3,0,1,0,2,3,3,4,4,4,4,2,1,9,9,1,2,2,0,1,1220210109378178
1ef64aab5c17,3,0,1,0,10,10,7,10,7,10,10,10,7,1,1,1,8,8,0,0,1228730930357276
ecaee3d1008f,3,1,0,0,1,0,1,0,0,1,0,1,6,1,1,1,5,5,1,0,1244191253989055
bed96b6743fa,7,0,0,0,1,1,1,0,1,2,1,1,6,1,1,1,5,5,0,0,1258680892289355
44451e6362f6,7,1,1,0,3,3,4,3,3,3,3,3,0,11,11,1,8,8,1,0,1272821008606893
de2e1a39a06a,7,1,0,0,7,8,9,7,9,7,8,7,3,5,5,1,3,3,0,0,1276260382948023
b7c0806de860,3,1,1,0,8,9,9,8,8,9,8,8,1,6,6,1,5,5,1,1,1284011159251952
ae58d21b0db5,7,1,0,0,3,3,4,3,3,4,4,3,1,10,10,1,8,8,0,0,1284687618647873
de2e1a39a06a,7,1,1,0,6,6,3,6,6,7,6,6,9,4,4,1,7,7,1,0,1284759737020645
6d697f14bc8e,3,0,1,0,9,8,9,8,10,1,9,9,10,6,6,1,1,1,1,0,1291327165069557
de2e1a39a06a,3,1,0,0,6,6,3,7,7,7,7,6,4,3,3,1,9,9,1,0,1296018999291307
043b694d9c5e,3,0,0,0,3,3,4,3,3,4,3,3,11,9,10,1,5,5,0,0,1297859122435995
043b694d9c5e,7,0,1,0,5,5,4,3,4,1,3,5,2,9,9,1,8,8,0,0,1311318118124134
56c9efc58838,7,1,1,0,8,7,8,8,10,8,10,8,9,3,3,1,11,11,0,0,1311693112295140
d2a09753fb88,3,0,0,0,3,5,7,5,6,4,5,3,0,11,11,1,11,10,0,0,1316171501753981
fd98e5d506f4,7,2,1,0,1,2,3,4,5,2,4,1,4,10,10,1,6,6,0,1,1320415149161596
d2a09753fb88,3,0,1,0,4,5,5,5,4,6,4,4,1,10,10,1,11,11,0,0,1333194866828700
72e6d542f7e1,7,2,0,0,10,10,10,10,10,10,10,10,9,5,6,1,0,0,1,0,1347731664056438
7d9cf5e9ab13,3,2,1,0,6,6,5,6,5,6,6,6,10,7,7,1,2,2,1,0,1359326477981212
df7628a2379b,7,2,0,0,1,1,2,1,2,1,2,1,6,7,7,1,11,11,1,0,1371750757917616
72e6d542f7e1,3,1,0,0,10,10,10,10,10,10,10,10,4,5,5,1,0,0,1,0,1393735956569366
609de232a4d4,3,1,0,0,4,5,5,5,4,6,4,4,0,9,9,1,5,5,0,0,1410166191136748
043b694d9c5e,7,1,0,0,3,3,3,3,2,5,2,3,3,7,7,1,6,6,0,0,1422752301920553
75ed4952b7fc,7,1,1,0,10,8,10,7,9,7,9,10,11,9,8,1,9,9,0,0,1423362962807891
de2e1a39a06a,7,1,1,0,8,8,8,9,10,8,9,8,10,5,5,1,4,4,0,0,1429821326078114
54bdd761dc96,3,2,1,0,7,7,9,7,8,7,7,7,8,6,6,1,11,10,0,0,1437456809009219
5a95829744b6,3,1,0,0,7,7,7,7,6,7,7,7,10,7,7,1,11,10,0,0,1442589875195319
caf2a2a8004c,3,0,0,0,10,10,10,10,10,11,10,10,1,4,4,1,7,7,0,1,1443559921141863
4e9a08ea6a04,7,2,1,0,4,4,4,4,3,5,3,4,0,8,8,1,11,10,0,0,1446084337113926
043b694d9c5e,7,0,0,0,5,4,6,3,5,1,4,5,0,11,10,1,1,1,0,0,1446681772844788
75ed4952b7fc,7,0,1,0,9,9,10,8,10,8,10,9,4,8,7,1,4,4,0,0,1449945157363634
de2e1a39a06a,7,1,0,0,7,7,8,7,9,7,8,7,3,4,4,1,4,3,0,0,1450177088090323
609de232a4d4,7,0,0,0,6,6,6,6,5,6,6,6,11,9,8,1,2,2,0,0,1455389728495565
ecaee3d1008f,3,2,1,0,1,0,1,0,0,1,0,1,6,1,1,1,11,10,1,0,1458552598280257
44c3d411b9d0,3,2,1,0,1,1,1,0,0,1,0,1,6,1,1,1,4,4,1,0,1465724856230332
df7628a2379b,7,0,0,0,1,0,1,1,2,1,2,1,6,1,1,1,2,2,0,0,1468616459959750
117bd0e19e2a,3,2,0,0,5,5,5,5,4,6,5,5,1,9,9,1,11,10,0,0,1469213097413389
44451e6362f6,7,2,0,0,4,4,4,4,4,4,4,4,0,9,9,1,7,7,1,0,1491312784107442
7b281033e46b,3,0,0,0,10,10,9,9,9,9,9,10,8,4,4,1,6,6,0,0,1497210104119747
b64df5bf243d,3,1,1,0,1,1,1,0,0,2,0,1,6,1,1,1,11,10,1,0,1500822602056103
ae58d21b0db5,7,0,1,0,3,4,4,3,3,5,3,3,0,10,10,1,11,11,0,0,1520161137561001
de2e1a39a06a,7,1,1,0,8,8,9,9,9,9,9,8,2,5,5,1,2,2,0,0,1522631016999203
7b281033e46b,7,0,0,0,9,8,9,9,9,8,8,9,11,7,7,1,8,8,0,0,1538763758626336
7d9cf5e9ab13,7,0,1,0,6,6,7,6,6,7,6,6,11,9,9,1,8,8,0,0,1540719520637571
44451e6362f6,7,0,0,0,6,5,4,5,5,6,4,6,3,7,7,1,11,10,0,0,1541440542569666
7b281033e46b,7,1,1,0,9,9,9,9,8,10,9,9,9,4,4,1,8,8,0,0,1551041833268860
88c5daebbe7a,7,1,1,0,5,5,4,5,4,6,5,5,1,8,8,1,2,1,1,0,1563145679202904
7b281033e46b,7,2,1,0,9,9,9,9,8,9,8,9,9,5,5,1,11,10,0,0,1570455364906150
ae58d21b0db5,3,0,0,0,3,3,3,4,3,5,3,3,1,7,8,1,11,10,0,0,1571718675166047
6d697f14bc8e,3,2,1,0,10,10,9,10,9,10,9,10,3,4,4,1,8,8,0,0,1581968412275516
caf2a2a8004c,3,2,0,0,10,10,11,10,11,10,10,10,1,6,6,1,0,0,1,1,1588823650744727
89606b98d91b,7,0,0,0,9,9,7,9,10,9,9,9,8,3,3,1,9,9,0,0,1590798324071940
89606b98d91b,7,0,0,0,10,9,9,10,10,9,10,10,6,3,3,1,5,4,0,0,1593536285881253
44c3d411b9d0,3,0,0,0,3,2,3,1,2,1,2,3,6,8,5,1,3,3,0,0,1609600174802038
89606b98d91b,3,2,0,0,9,9,7,9,7,10,8,9,7,1,1,1,6,6,0,0,1610065118105425
44451e6362f6,7,1,0,0,2,2,3,3,3,2,4,2,0,10,10,1,4,3,1,1,1617851702918811
ae58d21b0db5,7,1,1,0,4,3,3,5,6,5,6,4,10,9,10,1,9,9,0,0,1627247785846916
724c5ce66e47,3,1,0,0,2,2,1,2,1,4,1,2,5,1,1,1,9,9,0,0,1641870358371444
25827051ce85,7,2,0,0,11,10,10,11,11,11,11,11,3,5,5,1,11,10,1,0,1647181410159812
54bdd761dc96,7,2,1,0,7,7,8,7,8,7,7,7,3,8,8,1,11,11,0,0,1654240739125896
406ae854b991,7,2,0,0,1,1,1,1,1,2,1,1,4,1,1,1,3,3,0,0,1672567965437546
5f8b91f5d962,3,2,0,0,8,7,5,7,7,8,7,8,5,2,2,1,6,6,1,0,1673626719337719
25827051ce85,7,0,0,0,11,11,11,11,11,11,11,11,3,4,4,1,1,1,0,0,1674563358837688
72e6d542f7e1,7,0,0,0,11,11,10,11,10,11,11,11,9,4,4,1,8,8,0,0,1686395214297350
44c3d411b9d0,7,0,1,0,3,3,1,2,2,5,2,3,6,1,1,1,4,4,0,0,1689711808272988
88c5daebbe7a,3,0,1,0,6,6,4,6,5,6,6,6,8,5,5,1,11,10,0,0,1696167867374296
fd98e5d506f4,3,1,0,0,6,4,6,2,5,3,4,6,9,9,7,1,7,7,1,0,1698211399883663
fd98e5d506f4,3,1,1,0,4,4,6,4,4,3,4,4,0,10,11,1,1,1,0,0,1699335250235648
95b9d4fe1271,7,2,1,0,2,2,2,2,1,4,2,2,8,2,2,1,3,3,0,0,1699708168588639
ec691497ec28,3,2,0,0,7,7,7,7,6,8,7,7,7,3,3,1,0,0,1,1,1705611519644309
b64df5bf243d,7,0,1,0,1,1,1,0,0,2,0,1,4,1,1,1,7,7,1,0,1722622020858043
406ae854b991,7,0,0,0,1,0,1,0,0,1,0,1,6,1,1,1,8,8,1,0,1724431142263368
fd98e5d506f4,7,0,1,0,4,4,3,4,3,4,3,4,1,10,10,1,11,11,0,0,1729206009042394
1ef64aab5c17,3,2,1,0,10,10,9,10,8,10,9,10,9,3,3,1,11,11,0,0,1730275181926212
4e9a08ea6a04,7,0,0,0,4,3,4,3,3,5,2,4,2,10,10,1,3,3,0,0,1748514067484186
1ef64aab5c17,3,0,0,0,10,10,9,10,9,10,9,10,2,2,3,1,11,10,0,0,1749088269161496
748d7819e37e,3,1,0,0,2,2,2,2,3,4,3,2,2,5,5,1,2,2,0,0,1753473140541760
de2e1a39a06a,7,1,0,0,7,7,4,7,7,7,7,7,3,3,3,1,5,5,0,0,1759254260127153
724c5ce66e47,3,1,0,0,2,2,2,2,1,4,1,2,2,2,3,1,9,9,0,1,1767527698602771
5a95829744b6,3,1,0,0,5,6,7,6,6,5,6,5,1,9,9,1,0,0,1,1,1779031195551775
1ef64aab5c17,3,0,1,0,10,10,9,10,8,10,9,10,7,3,3,1,4,4,0,0,1783162149519605
1404ea258012,7,1,1,0,10,11,11,11,11,10,11,10,1,5,5,1,9,9,0,0,1783790397251287
b64df5bf243d,7,0,0,0,1,1,1,1,1,2,1,1,6,1,1,1,0,0,0,0,1793484637731832
44451e6362f6,3,1,0,0,6,5,6,5,4,6,4,6,8,8,9,1,11,10,0,0,1799282571671738
724c5ce66e47,7,2,0,0,2,2,2,1,1,2,1,2,7,2,2,1,5,5,0,0,1803567030490271
e0b4f7b875db,3,0,0,0,1,0,1,0,0,1,0,1,6,1,1,1,3,3,1,1,1805065506014845
d2a09753fb88,3,0,1,0,6,6,7,5,6,4,5,6,11,11,11,1,1,1,0,0,1805743602643102
56c9efc58838,3,1,0,0,7,7,8,7,7,8,7,7,7,3,3,1,0,0,1,0,1807608123834049
25827051ce85,3,2,0,0,11,11,11,11,11,11,11,11,4,7,7,1,4,3,0,0,1824769530077611
117bd0e19e2a,7,2,1,0,5,4,6,4,5,1,4,5,3,10,10,1,5,5,1,0,1837948930969623
bed96b6743fa,7,2,0,0,2,2,1,2,1,4,1,2,7,2,2,1,1,0,0,0,1840889364749120
de2e1a39a06a,3,0,1,0,10,10,10,9,10,8,10,10,10,8,7,1,11,10,0,0,1860380746638978
